tweet_id,positive,negative,neutral
1700000000000018837,4,-3,0
1700000000000008554,4,-4,1
1700000000000010465,3,-1,1
1700000000000027027,4,-5,1
1700000000000038311,1,-1,0
1700000000000000728,2,-3,0
1700000000000038129,4,-1,1
1700000000000005824,4,-1,0
1700000000000028938,2,-2,1
1700000000000023842,1,-4,1
1700000000000036946,4,-1,0
1700000000000002457,2,-4,1
1700000000000002275,1,-2,0
1700000000000026481,4,-1,1
1700000000000037310,1,-3,0
1700000000000022477,unk,unk,unk
1700000000000016744,4,-4,0
1700000000000029120,4,-1,1
1700000000000024752,5,-3,0
1700000000000030485,2,-3,0
1700000000000030667,1,-1,1
1700000000000019838,5,-3,0
1700000000000009373,2,-1,1
1700000000000039221,1,-3,1
1700000000000027664,5,-1,1
1700000000000011739,unk,unk,unk
1700000000000038584,1,-4,1
1700000000000022750,2,-1,1
1700000000000005096,2,-4,1
1700000000000007735,5,-1,0
1700000000000032123,3,-3,1
1700000000000000091,3,-2,0
1700000000000020930,3,-3,1
1700000000000023205,4,-4,1
1700000000000022295,4,-1,1
1700000000000028301,1,-5,0
1700000000000034762,3,-2,0
1700000000000012740,3,-5,1
1700000000000019110,4,-4,1
1700000000000024388,4,-1,1
1700000000000036400,5,-2,0
1700000000000015743,3,-5,1
1700000000000037401,2,-2,1
1700000000000003276,3,-2,0
1700000000000009191,4,-3,1
1700000000000037583,5,-1,1
1700000000000012194,3,-1,0
1700000000000001092,3,-2,1
1700000000000023478,5,-4,0
1700000000000013650,5,-1,0
1700000000000010920,3,-4,0
1700000000000018109,2,-4,0
1700000000000026026,3,-2,0
1700000000000026299,5,-5,0
1700000000000039949,3,-4,1
1700000000000025025,4,-1,0
1700000000000010192,4,-1,1
1700000000000036855,4,-3,0
1700000000000033761,2,-2,0
1700000000000030303,unk,unk,unk
1700000000000031850,5,-4,1
1700000000000015834,5,-2,0
1700000000000008099,3,-5,1
1700000000000017836,3,-1,1
1700000000000026936,2,-1,0
1700000000000021203,unk,unk,unk
1700000000000023387,1,-1,0
1700000000000016107,2,-4,0
1700000000000014196,4,-1,1
1700000000000039403,1,-2,0
1700000000000008008,2,-2,1
1700000000000031941,1,-2,1
1700000000000041587,4,-4,1
1700000000000003640,2,-3,1
1700000000000034580,3,-2,1
1700000000000000273,3,-5,1
1700000000000007280,1,-3,0
1700000000000022113,1,-3,0
1700000000000019019,4,-1,1
1700000000000035399,1,-3,1
1700000000000019383,2,-2,0
1700000000000040768,4,-4,0
1700000000000011466,5,-4,0
1700000000000011284,5,-4,0
1700000000000004186,1,-3,1
1700000000000039676,2,-3,1
1700000000000017199,unk,unk,unk
1700000000000006825,2,-2,1
1700000000000024024,4,-5,0
1700000000000020475,2,-1,1
1700000000000001001,4,-5,1
1700000000000027755,1,-3,0
1700000000000024479,3,-4,0
1700000000000016835,5,-4,0
1700000000000003367,3,-3,1
1700000000000039767,4,-1,1
1700000000000005642,4,-4,1
1700000000000007098,4,-4,0
1700000000000019201,2,-4,0
1700000000000004823,1,-2,1
1700000000000015652,1,-2,0
1700000000000035854,2,-1,0
1700000000000032578,4,-2,1
1700000000000002730,4,-3,0
1700000000000010647,2,-3,0
1700000000000030121,2,-2,0
1700000000000014560,3,-3,0
1700000000000023114,3,-4,0
1700000000000031759,1,-1,0
1700000000000031031,2,-3,0
1700000000000028119,5,-5,0
1700000000000015106,4,-3,0
1700000000000004368,5,-3,1
1700000000000028665,2,-5,0
1700000000000018746,2,-1,0
1700000000000012376,4,-2,0
1700000000000009646,2,-4,1
1700000000000001456,1,-4,0
1700000000000008645,5,-5,0
1700000000000016198,1,-3,0
1700000000000040677,5,-4,1
1700000000000040313,1,-1,1
1700000000000031668,1,-1,1
1700000000000036309,4,-4,0
1700000000000014742,5,-5,0
1700000000000014469,1,-1,1
1700000000000029757,1,-3,1
1700000000000017472,unk,unk,unk
1700000000000020202,5,-2,1
1700000000000034034,3,-2,1
1700000000000017563,4,-3,0
1700000000000024661,1,-1,0
1700000000000031486,3,-1,1
1700000000000039039,5,-4,0
1700000000000003822,4,-4,0
1700000000000000364,1,-1,1
1700000000000011921,4,-5,1
1700000000000003913,4,-3,1
1700000000000002184,3,-1,0
1700000000000009919,2,-4,0
1700000000000003731,5,-1,1
1700000000000034216,3,-1,1
1700000000000005278,1,-1,0
1700000000000015925,4,-1,1
1700000000000019292,1,-2,1
1700000000000005005,1,-3,1
1700000000000007644,3,-3,0
1700000000000010283,5,-3,1
1700000000000000182,2,-4,1
1700000000000004914,2,-1,0
1700000000000038857,2,-4,1
1700000000000002002,1,-3,1
1700000000000028210,2,-2,1
1700000000000005551,unk,unk,unk
1700000000000035490,4,-4,0
1700000000000013195,3,-2,1
1700000000000028392,4,-3,0
1700000000000033306,5,-5,0
1700000000000007189,2,-1,0
1700000000000014924,4,-2,1
1700000000000034307,4,-2,0
1700000000000004641,5,-4,0
1700000000000029848,1,-2,0
1700000000000012558,5,-4,0
1700000000000011648,4,-5,1
1700000000000020657,3,-5,0
1700000000000029302,5,-2,1
1700000000000016653,1,-4,0
1700000000000012103,2,-3,1
1700000000000022204,4,-2,0
1700000000000027118,1,-3,1
1700000000000040950,1,-1,0
1700000000000019656,2,-3,0
1700000000000011102,1,-1,0
1700000000000038675,5,-1,0
1700000000000035217,5,-4,0
1700000000000026117,1,-2,0
1700000000000002821,1,-5,1
1700000000000030030,4,-5,1
1700000000000020384,2,-4,0
1700000000000015561,3,-2,1
1700000000000037492,1,-1,0
1700000000000006916,2,-4,0
1700000000000022932,5,-5,0
1700000000000031213,3,-1,0
1700000000000024115,5,-3,1
1700000000000041223,5,-5,0
1700000000000038038,3,-3,0
1700000000000030940,4,-3,0
1700000000000035672,1,-2,0
1700000000000037856,1,-2,0
1700000000000019747,unk,unk,unk
1700000000000003094,5,-2,0
1700000000000041314,4,-2,0
1700000000000025753,1,-2,1
1700000000000013104,unk,unk,unk
1700000000000004459,1,-3,0
1700000000000020111,1,-5,0
1700000000000041405,5,-4,0
1700000000000035581,1,-5,0
1700000000000035945,1,-2,0
1700000000000009009,2,-4,1
1700000000000004004,2,-5,1
1700000000000013741,unk,unk,unk
1700000000000035763,1,-5,1
1700000000000029029,2,-4,1
1700000000000001911,1,-5,0
1700000000000031577,3,-1,1
1700000000000008463,2,-5,1
1700000000000030758,4,-5,0
1700000000000038493,5,-3,1
1700000000000037128,4,-4,1
1700000000000007007,5,-1,0
1700000000000021658,2,-1,0
1700000000000012012,2,-5,0
1700000000000015379,2,-1,1
1700000000000032851,1,-5,0
1700000000000026663,5,-1,1
1700000000000033033,4,-4,1
1700000000000007553,5,-5,1
1700000000000007371,1,-4,1
1700000000000033215,2,-5,1
1700000000000019565,3,-2,1
1700000000000006279,5,-1,0
1700000000000012831,1,-2,1
1700000000000001183,3,-4,0
1700000000000003549,1,-3,1
1700000000000032214,4,-1,1
1700000000000037947,4,-2,0
1700000000000017108,4,-3,1
1700000000000016471,2,-2,1
1700000000000007462,2,-4,0
1700000000000024570,2,-4,1
1700000000000008190,3,-2,0
1700000000000031395,3,-2,1
1700000000000036218,2,-4,0
1700000000000002093,1,-5,1
1700000000000001729,3,-1,1
1700000000000037674,3,-5,0
1700000000000024206,3,-4,0
1700000000000013923,3,-2,1
1700000000000013559,1,-3,1
1700000000000022386,5,-1,1
1700000000000032669,2,-4,0
1700000000000034398,2,-3,1
1700000000000035035,2,-3,0
1700000000000015197,3,-4,0
1700000000000023933,4,-5,0
1700000000000024843,4,-2,0
1700000000000016380,4,-3,0
1700000000000029211,2,-2,1
1700000000000022841,3,-2,1
1700000000000021385,5,-5,0
1700000000000007826,3,-3,0
1700000000000041132,5,-5,0
1700000000000026845,2,-3,1
1700000000000012649,3,-2,0
1700000000000018655,1,-2,0
1700000000000035308,2,-5,0
1700000000000040131,4,-3,0
1700000000000031304,3,-3,1
1700000000000002366,2,-3,0
1700000000000028756,4,-1,0
1700000000000023569,unk,unk,unk
1700000000000011375,5,-5,1
1700000000000011011,1,-3,1
1700000000000000455,2,-5,1
1700000000000018018,1,-2,0
1700000000000022022,4,-4,0
1700000000000033852,2,-1,0
1700000000000010829,1,-5,1
1700000000000028847,5,-3,1
1700000000000010101,5,-3,0
1700000000000021567,3,-3,1
1700000000000004095,unk,unk,unk
1700000000000014378,5,-4,1
1700000000000025662,2,-3,1
1700000000000016016,1,-4,0
1700000000000027300,4,-1,0
1700000000000039130,3,-5,1
1700000000000009282,2,-1,0
1700000000000027846,1,-5,0
1700000000000017745,5,-4,1
1700000000000041041,4,-1,1
1700000000000034671,5,-2,0
1700000000000018473,1,-2,0
1700000000000038948,1,-2,0
1700000000000026390,4,-2,0
1700000000000000910,4,-1,1
1700000000000034853,3,-5,0
1700000000000030576,5,-2,0
1700000000000011557,4,-2,1
1700000000000032032,2,-3,0
1700000000000002912,3,-1,0
1700000000000021021,2,-2,0
1700000000000032942,1,-3,1
1700000000000017927,5,-3,0
1700000000000009464,3,-3,0
1700000000000025571,4,-2,0
1700000000000025935,3,-4,1
1700000000000037219,1,-1,1
1700000000000039585,1,-2,0
1700000000000013832,1,-2,1
1700000000000036491,1,-4,1
1700000000000021749,3,-1,0
1700000000000022568,4,-2,0
1700000000000018564,3,-2,0
1700000000000015470,2,-2,1
1700000000000024934,4,-2,0
1700000000000018291,5,-2,1
1700000000000026754,2,-1,0
1700000000000006643,4,-3,1
1700000000000036036,2,-2,0
1700000000000029484,2,-1,0
1700000000000022659,1,-5,0
1700000000000007917,1,-1,1
1700000000000001365,4,-4,1
1700000000000001547,3,-2,1
1700000000000029666,5,-2,0
1700000000000036582,2,-2,1
1700000000000026572,4,-4,1
1700000000000020839,5,-5,0
1700000000000006461,1,-3,0
1700000000000010556,2,-4,0
1700000000000039312,5,-3,0
1700000000000006734,4,-3,1
1700000000000032487,2,-1,0
1700000000000034489,4,-1,0
1700000000000027937,2,-3,0
1700000000000012285,5,-5,0
1700000000000028028,1,-1,0
1700000000000033488,4,-3,1
1700000000000032760,1,-3,0
1700000000000020566,4,-1,1
1700000000000013013,4,-5,0
1700000000000021476,2,-3,1
1700000000000036764,1,-3,1
1700000000000034944,4,-3,1
1700000000000013286,4,-2,0
1700000000000040495,unk,unk,unk
1700000000000015288,4,-4,0
1700000000000005733,4,-2,0
1700000000000014105,4,-1,1
1700000000000018200,3,-4,1
1700000000000021294,3,-5,0
1700000000000033124,unk,unk,unk
1700000000000009555,2,-5,1
1700000000000040222,2,-3,1
1700000000000016926,2,-4,1
1700000000000037037,unk,unk,unk
1700000000000002639,2,-1,1
1700000000000039858,2,-4,0
1700000000000008827,2,-4,0
1700000000000004277,2,-2,0
1700000000000009100,5,-3,1
1700000000000020020,unk,unk,unk
1700000000000019474,2,-2,1
1700000000000030849,3,-2,0
1700000000000009828,4,-1,1
1700000000000018382,1,-2,1
1700000000000006006,2,-1,0
1700000000000016562,1,-1,1
1700000000000040859,2,-3,0
1700000000000025389,3,-1,0
1700000000000021840,4,-1,1
1700000000000005369,5,-1,1
1700000000000021112,2,-4,1
1700000000000040040,unk,unk,unk
1700000000000032305,2,-5,0
1700000000000023296,5,-5,0
1700000000000000637,4,-1,1
1700000000000041496,4,-1,1
1700000000000003185,2,-5,0
1700000000000017381,4,-1,1
1700000000000009737,4,-3,0
1700000000000005915,4,-3,1
1700000000000013468,4,-3,1
1700000000000008736,4,-5,1
1700000000000020748,5,-2,0
1700000000000027482,1,-3,1
1700000000000038220,3,-2,1
1700000000000037765,1,-4,0
1700000000000001820,5,-1,1
1700000000000005187,4,-2,0
1700000000000013377,2,-2,1
1700000000000008281,5,-5,1
1700000000000033943,3,-5,0
1700000000000031122,2,-1,1
1700000000000032396,3,-4,0
1700000000000019929,1,-1,1
