tweet_id,author_id,created_at,text,lang,source,topic_raw,retweet_count,reply_count,like_count,quote_count
1700000000000000000,900000000000000000,2024-08-13 00:39:00,Local government just announced new funding for renewable energy adoption. cc @windywatch5139_23,en,Twitter Web App,Carbon Emissions,3,4,15,1
1700000000000000091,900000000000001096,2024-09-06 21:58:00,"RT @solarhub3140_19: @sunnytalks3920_48 My research this year has focused on renewable energy adoption, happy to share findings. #COP",de,Twitter for iPhone,Extreme Weather,4,4,8,2
1700000000000000182,900000000000004384,2024-08-03 11:34:00,"Skeptical of the latest claims about flood defenses, needs more data.",en,Twitter for iPhone,Climate Denial Debate,4,3,11,3
1700000000000000273,900000000000002329,2024-09-11 08:39:00,Op-ed: what we're getting wrong about wildlife conservation.,fr,TweetDeck,Corporate Sustainability,,,,
1700000000000000364,900000000000002329,2024-08-16 14:36:00,@oceanaction9933_38 Honestly tired of hearing about climate activism without any real action.,es,Twitter Web App,Wildlife & Conservation,,,,
1700000000000000455,900000000000000137,2024-08-01 16:12:00,Local government just announced new funding for climate activism. cc @sunnypost10_12 cc @urbanaction2089_32,en,TweetDeck,Climate Denial Debate,7,3,26,2
1700000000000000546,900000000000005206,2024-08-31 17:33:00,Local government just announced new funding for corporate sustainability pledges.,en,Twitter Web App,Carbon Emissions,239,3,11,1
1700000000000000637,900000000000001370,2024-08-18 23:37:00,@leaftalks7887_21 Why isn't the youth climate movement getting more attention from policymakers?,de,Twitter Web App,Extreme Weather,5,2,8,1
1700000000000000728,900000000000001096,2024-08-09 20:55:00,Can we talk about how climate policy affects everyday people? #ClimateChange,fr,Twitter for Android,Green Technology,3,2,10,1
1700000000000000819,900000000000006439,2024-09-13 01:09:00,RT @carbondaily5068_40: Small businesses are adapting fast when it comes to wildlife conservation. #ClimateAction,en,Twitter for Android,Wildlife & Conservation,5,2,561,1
1700000000000000910,900000000000005069,2024-09-09 01:39:00,Op-ed: what we're getting wrong about wildlife conservation. #ClimateJustice,de,Twitter for Android,Renewable Energy,3,5,18,1
1700000000000001001,900000000000001370,2024-08-19 22:55:00,@solardesk4890_11 New report shows corporate sustainability pledges is accelerating faster than expected. #ClimateJustice,en,TweetDeck,Extreme Weather,7,12,29,1
1700000000000001092,900000000000000959,2024-09-08 23:52:00,"Just read a great thread on green technology, worth your time. #Sustainability",en,TweetDeck,Carbon Emissions,3,2,21,2
1700000000000001183,900000000000002329,2024-09-06 18:01:00,"My research this year has focused on climate activism, happy to share findings. #RenewableEnergy cc @planetzone8667_28",de,Twitter for iPhone,Carbon Emissions,,,,
1700000000000001274,900000000000004932,2024-09-22 15:05:00,Can we talk about how wildlife conservation affects everyday people? #ClimateJustice,en,TweetDeck,Wildlife & Conservation,4,2,8,1
1700000000000001365,900000000000001644,2024-08-01 21:55:00,@futurewatch3165_36 New report shows wildlife conservation is accelerating faster than expected. #COP cc @urbannow3789_49,en,Twitter for iPhone,Climate Denial Debate,4,2,11,2
1700000000000001456,900000000000001233,2024-08-01 17:26:00,"This graph on wildlife conservation is wild, take a look. #ClimateJustice cc @solarhub3140_19",en,TweetDeck,Climate Activism,126,11,13,1
1700000000000001547,900000000000006302,2024-08-10 12:12:00,"RT @stormdesk635_35: My research this year has focused on green technology, happy to share findings. #ClimateCrisis",de,Twitter for Android,Corporate Sustainability,,,,
1700000000000001638,900000000000005891,2024-08-20 18:37:00,"Another heatwave, another reminder about corporate sustainability pledges. #Environment #ClimateChange",de,TweetDeck,Corporate Sustainability,5,2,15,1
1700000000000001729,900000000000002329,2024-08-21 23:30:00,Local government just announced new funding for extreme weather. #RenewableEnergy,es,TweetDeck,Wildlife & Conservation,,,,
1700000000000001820,900000000000006576,2024-08-07 16:58:00,"RT @planetzone8667_28: @wildreport9325_41 Just read a great thread on wildlife conservation, worth your time. #ClimateJustice",en,Twitter Web App,Climate Denial Debate,8,2,19,1
1700000000000001911,900000000000002055,2024-09-15 15:55:00,@oceantalks7239_42 Why isn't climate activism getting more attention from policymakers?,en,Twitter for iPhone,Extreme Weather,6,2,20,1
1700000000000002002,900000000000002329,2024-08-19 11:23:00,"RT @solarpost6202_3: Skeptical of the latest claims about renewable energy adoption, needs more data. #COP",en,TweetDeck,Extreme Weather,,,,
1700000000000002093,900000000000003151,2024-09-07 04:14:00,"Just read a great thread on renewable energy adoption, worth your time. cc @earthzone5574_10",en,Twitter for Android,Carbon Emissions,3,2,8,2
1700000000000002184,900000000000000548,2024-08-07 07:24:00,"@oceanaction9933_38 Skeptical of the latest claims about corporate sustainability pledges, needs more data. cc @polarzone9017_20",es,Twitter Web App,Youth Climate Movement,,,,
1700000000000002275,900000000000006713,2024-08-04 19:47:00,Small businesses are adapting fast when it comes to corporate sustainability pledges. #ClimateJustice,en,Twitter for Android,Green Technology,18,2,30,1
1700000000000002366,900000000000003836,2024-08-29 01:37:00,"Another heatwave, another reminder about climate policy. cc @climatetalks6791_44",en,Twitter for Android,Extreme Weather,3,11,11,1
1700000000000002457,900000000000005069,2024-09-21 03:29:00,@gridzone9174_33 Can we talk about how green technology affects everyday people? #ClimateCrisis cc @windywatch5139_23,de,Twitter Web App,Wildlife & Conservation,3,22,41,2
1700000000000002548,900000000000000685,2024-09-07 12:52:00,Honestly tired of hearing about the youth climate movement without any real action. #GreenTech,es,Twitter for iPhone,Green Technology,,,,
1700000000000002639,900000000000004110,2024-08-30 22:19:00,Proud to see my city investing in the youth climate movement. #ClimateJustice #ClimateAction,es,Twitter for Android,Renewable Energy,,,,
1700000000000002730,900000000000000274,2024-09-17 22:34:00,"This graph on renewable energy adoption is wild, take a look. #Environment #ClimateCrisis",en,TweetDeck,Climate Denial Debate,8,2,12,1
1700000000000002821,900000000000006302,2024-08-07 21:23:00,"My research this year has focused on climate activism, happy to share findings. #ClimateCrisis",en,Twitter for iPhone,Green Technology,,,,
1700000000000002912,900000000000002329,2024-08-02 01:50:00,Why isn't wildlife conservation getting more attention from policymakers? #RenewableEnergy,en,Twitter for Android,Climate Activism,,,,
1700000000000003003,900000000000000411,2024-08-18 04:08:00,Proud to see my city investing in extreme weather. #Sustainability cc @earthdaily9939_14,en,Twitter for Android,Green Technology,10,2,42,1
1700000000000003094,900000000000003425,2024-08-31 14:49:00,Honestly tired of hearing about carbon emissions without any real action. #NetZero,en,Twitter Web App,Corporate Sustainability,5,3,9,1
1700000000000003185,900000000000002329,2024-08-10 02:08:00,RT @oceanaction9933_38: @windycollective7008_31 Small businesses are adapting fast when it comes to corporate sustainability pledges. #ClimateAction cc @solarpost6202_3,en,Twitter Web App,Youth Climate Movement,,,,
1700000000000003276,900000000000002192,2024-09-19 17:46:00,"This graph on the youth climate movement is wild, take a look. #ClimateAction cc @solarhub3140_19",de,TweetDeck,Wildlife & Conservation,,,,
1700000000000003367,900000000000006028,2024-08-17 11:09:00,Small businesses are adapting fast when it comes to wildlife conservation. #ClimateAction,es,Twitter for Android,Green Technology,4,2,8,1
1700000000000003458,900000000000003014,2024-08-28 23:03:00,Can we talk about how climate activism affects everyday people? cc @futurewatch3165_36,de,Twitter Web App,Youth Climate Movement,,,,
1700000000000003549,900000000000002192,2024-09-06 07:51:00,"RT @bluedaily2168_17: Just read a great thread on wildlife conservation, worth your time. #ClimateAction cc @climatevoice7963_13",en,Twitter for iPhone,Corporate Sustainability,,,,
1700000000000003640,900000000000003562,2024-09-06 21:25:00,RT @stormreport7669_9: @greenpost1747_45 Honestly tired of hearing about carbon emissions without any real action. #COP,en,TweetDeck,Wildlife & Conservation,8,25,8,1
1700000000000003731,900000000000002329,2024-08-10 05:48:00,RT @solarpost6202_3: Honestly tired of hearing about climate activism without any real action.,es,Twitter Web App,Renewable Energy,,,,
1700000000000003822,900000000000002329,2024-08-08 09:43:00,RT @urbanpost5719_27: Proud to see my city investing in wildlife conservation. #RenewableEnergy,es,Twitter Web App,Climate Denial Debate,,,,
1700000000000003913,900000000000000274,2024-09-18 08:18:00,Proud to see my city investing in carbon emissions. #COP,en,Twitter Web App,Extreme Weather,3,5,9,1
1700000000000004004,900000000000000548,2024-08-27 09:07:00,New report shows wildlife conservation is accelerating faster than expected. cc @bluezone5515_2 cc @planetzone8667_28,en,Twitter for Android,Green Technology,,,,
1700000000000004095,900000000000005343,2024-09-17 10:14:00,RT @solarhub3140_19: @greenpost1747_45 Op-ed: what we're getting wrong about climate activism. #ClimateAction #ClimateJustice,en,Twitter Web App,Green Technology,3,3,8,1
1700000000000004186,900000000000004658,2024-08-12 20:31:00,Local government just announced new funding for renewable energy adoption. #RenewableEnergy #Sustainability cc @stormreport7669_9,en,Twitter Web App,Youth Climate Movement,5,3,20,3
1700000000000004277,900000000000005891,2024-08-05 09:29:00,"This graph on renewable energy adoption is wild, take a look. #COP cc @stormreport7669_9",en,TweetDeck,Renewable Energy,3,7,8,3
1700000000000004368,900000000000002329,2024-08-10 01:28:00,@sunnytalks3920_48 Op-ed: what we're getting wrong about carbon emissions. #ClimateJustice,en,Twitter for iPhone,Green Technology,,,,
1700000000000004459,900000000000002603,2024-08-24 11:58:00,Local government just announced new funding for wildlife conservation.,en,Twitter for iPhone,Green Technology,4,2,17,2
1700000000000004550,900000000000002055,2024-08-22 02:37:00,Honestly tired of hearing about green technology without any real action. cc @climateaction9563_25,es,Twitter for iPhone,Climate Activism,20,2,19,1
1700000000000004641,900000000000001918,2024-09-17 21:58:00,"Another heatwave, another reminder about climate activism.",en,Twitter for Android,Climate Activism,6,2,11,1
1700000000000004732,900000000000002055,2024-09-23 23:56:00,@sunnypost10_12 Local government just announced new funding for climate policy. #COP,en,Twitter for Android,Climate Activism,6,8,17,1
1700000000000004823,900000000000001096,2024-09-09 09:48:00,"RT @planetzone8667_28: Another heatwave, another reminder about climate policy. #GreenTech cc @carbondaily5068_40",fr,Twitter for Android,Climate Denial Debate,4,3,10,2
1700000000000004914,900000000000002192,2024-08-09 08:03:00,"RT @oceanaction9933_38: @ecovoice6940_30 @windynow4463_29 Another heatwave, another reminder about green technology.",es,Twitter for iPhone,Green Technology,,,,
1700000000000005005,900000000000004384,2024-09-28 07:52:00,@polarnow4340_7 Honestly tired of hearing about renewable energy adoption without any real action. #Environment,en,TweetDeck,Extreme Weather,4,2,8,1
1700000000000005096,900000000000006713,2024-09-20 04:08:00,New report shows climate activism is accelerating faster than expected.,en,TweetDeck,Climate Denial Debate,20,3,35,2
1700000000000005187,900000000000003699,2024-08-04 07:26:00,@greenvoice965_16 @windyaction3612_1 Local government just announced new funding for climate policy. #ClimateJustice,es,TweetDeck,Youth Climate Movement,,,,
1700000000000005278,900000000000000411,2024-08-01 19:22:00,Proud to see my city investing in the youth climate movement. #Environment cc @urbanaction2089_32,en,Twitter for iPhone,Renewable Energy,4,4,8,9
1700000000000005369,900000000000002329,2024-08-05 11:15:00,"Skeptical of the latest claims about corporate sustainability pledges, needs more data. #ClimateChange",fr,Twitter Web App,Renewable Energy,,,,
1700000000000005460,900000000000000959,2024-08-31 20:11:00,Great panel discussion today on climate policy at the summit.,fr,Twitter for Android,Climate Policy,3,5,13,1
1700000000000005551,900000000000006028,2024-08-13 09:22:00,RT @wildreport9325_41: Honestly tired of hearing about the youth climate movement without any real action. #Environment,de,TweetDeck,Wildlife & Conservation,3,4,10,2
1700000000000005642,900000000000004795,2024-08-06 13:38:00,"RT @urbanpost5719_27: @leaftalks7887_21 Just read a great thread on wildlife conservation, worth your time. cc @wildvoice9750_24",de,Twitter Web App,Carbon Emissions,3,2,8,1
1700000000000005733,900000000000002329,2024-08-28 08:40:00,"My research this year has focused on wildlife conservation, happy to share findings. #ClimateChange cc @earthzone5574_10",de,Twitter for iPhone,Climate Policy,,,,
1700000000000005824,900000000000004110,2024-08-29 01:08:00,Can we talk about how climate policy affects everyday people? #ClimateJustice,en,Twitter Web App,Green Technology,,,,
1700000000000005915,900000000000002329,2024-09-03 11:25:00,"Just read a great thread on wildlife conservation, worth your time. cc @windycircle3229_39",en,Twitter for Android,Carbon Emissions,,,,
1700000000000006006,900000000000006439,2024-08-14 19:18:00,"Just read a great thread on wildlife conservation, worth your time. #Environment #COP",es,TweetDeck,Climate Activism,477,2,9,1
1700000000000006097,900000000000006713,2024-08-11 22:45:00,"@polarzone9017_20 Skeptical of the latest claims about climate activism, needs more data.",de,Twitter for Android,Extreme Weather,6,6,14,1
1700000000000006188,900000000000001370,2024-09-09 02:04:00,Great panel discussion today on the youth climate movement at the summit. #ClimateCrisis,en,Twitter for iPhone,Youth Climate Movement,1221,4,14,2
1700000000000006279,900000000000000959,2024-09-19 17:40:00,Why isn't wildlife conservation getting more attention from policymakers? #Environment,es,Twitter for Android,Renewable Energy,9,2,14,3
1700000000000006370,900000000000001918,2024-08-17 06:40:00,Op-ed: what we're getting wrong about extreme weather. #Environment,de,Twitter for Android,Climate Activism,3,4,17,1
1700000000000006461,900000000000001096,2024-08-27 19:40:00,RT @futurewatch3165_36: @windycircle3229_39 Great panel discussion today on flood defenses at the summit. #ClimateChange #ClimateJustice,en,TweetDeck,Extreme Weather,16,3,18,1
1700000000000006552,900000000000001781,2024-08-10 10:55:00,New report shows climate policy is accelerating faster than expected. #ClimateCrisis,fr,TweetDeck,Green Technology,,,,
1700000000000006643,900000000000000959,2024-08-04 09:24:00,RT @ecohub526_6: Can we talk about how renewable energy adoption affects everyday people? #ClimateCrisis #ClimateCrisis,de,Twitter Web App,Youth Climate Movement,4,20,55,2
1700000000000006734,900000000000001233,2024-09-02 14:15:00,RT @climateaction9563_25: Can we talk about how wildlife conservation affects everyday people? #COP,en,Twitter Web App,Climate Denial Debate,4,2,14,3
1700000000000006825,900000000000002877,2024-09-06 17:12:00,"@planetzone8667_28 Just read a great thread on green technology, worth your time.",en,Twitter for iPhone,Youth Climate Movement,3,2,13,1
1700000000000006916,900000000000000959,2024-08-26 16:02:00,RT @urbanaction2089_32: Great panel discussion today on climate activism at the summit. #GreenTech,en,Twitter for Android,Youth Climate Movement,3,2,13,1
1700000000000007007,900000000000002055,2024-09-01 22:36:00,Kids today deserve better answers on flood defenses. #GreenTech cc @earthzone5574_10,en,Twitter Web App,Youth Climate Movement,11,2,20,11
1700000000000007098,900000000000005206,2024-09-06 07:46:00,"Skeptical of the latest claims about carbon emissions, needs more data. #COP cc @greenpost1747_45",en,Twitter for Android,Wildlife & Conservation,4,3,23,2
1700000000000007189,900000000000005480,2024-08-14 13:32:00,RT @climatetalks6791_44: Proud to see my city investing in renewable energy adoption. #ClimateCrisis,fr,Twitter for Android,Climate Activism,21,8,24,1
1700000000000007280,900000000000003151,2024-09-25 23:43:00,Kids today deserve better answers on climate activism. cc @windycollective7008_31 cc @wildpost6756_34,es,Twitter Web App,Corporate Sustainability,7,3,9,1
1700000000000007371,900000000000001370,2024-09-16 08:18:00,"@polarzone9017_20 My research this year has focused on extreme weather, happy to share findings. cc @solarhub3140_19",en,Twitter Web App,Climate Activism,7,2,209,2
1700000000000007462,900000000000000274,2024-09-05 22:17:00,@ecohub526_6 Op-ed: what we're getting wrong about wildlife conservation. cc @windywatch5139_23,en,Twitter for Android,Corporate Sustainability,6,3,10,1
1700000000000007553,900000000000003836,2024-09-29 05:26:00,RT @stormdesk635_35: Kids today deserve better answers on climate activism. #Sustainability,es,Twitter Web App,Carbon Emissions,15,3,19,2
1700000000000007644,900000000000001644,2024-08-12 13:56:00,"Another heatwave, another reminder about renewable energy adoption. #ClimateChange",fr,Twitter Web App,Climate Activism,24,2,36,2
1700000000000007735,900000000000006028,2024-09-26 04:54:00,Proud to see my city investing in flood defenses. #GreenTech #Environment,en,Twitter for Android,Carbon Emissions,3,6,11,2
1700000000000007826,900000000000000000,2024-09-27 12:52:00,Honestly tired of hearing about flood defenses without any real action. #ClimateJustice,en,Twitter Web App,Climate Denial Debate,4,2,8,12
1700000000000007917,900000000000006302,2024-09-16 18:00:00,Kids today deserve better answers on extreme weather. #COP,en,Twitter for Android,Green Technology,,,,
1700000000000008008,900000000000000411,2024-09-19 09:44:00,Honestly tired of hearing about climate policy without any real action. #Environment,en,TweetDeck,Climate Activism,20,2,17,1
1700000000000008099,900000000000000959,2024-09-22 06:48:00,Great panel discussion today on corporate sustainability pledges at the summit. cc @windycircle3229_39,en,Twitter for iPhone,Green Technology,8,8,8,1
1700000000000008190,900000000000006302,2024-09-24 16:28:00,RT @polarzone9017_20: Small businesses are adapting fast when it comes to the youth climate movement. #Environment,en,TweetDeck,Extreme Weather,,,,
1700000000000008281,900000000000000685,2024-08-20 23:01:00,"This graph on climate policy is wild, take a look. #ClimateCrisis cc @solarpost6202_3",en,Twitter for Android,Climate Policy,,,,
1700000000000008372,900000000000003288,2024-08-03 09:26:00,RT @ecovoice6940_30: Great panel discussion today on renewable energy adoption at the summit. #ClimateChange,en,TweetDeck,Green Technology,3,4,23,7
1700000000000008463,900000000000002329,2024-09-23 00:48:00,"@climatereport2804_5 @climateaction9563_25 Skeptical of the latest claims about the youth climate movement, needs more data. #GreenTech #Environment",en,TweetDeck,Carbon Emissions,,,,
1700000000000008554,900000000000004110,2024-08-08 01:51:00,Kids today deserve better answers on extreme weather. #GreenTech #RenewableEnergy cc @stormdesk635_35,es,Twitter for iPhone,Youth Climate Movement,,,,
1700000000000008645,900000000000001370,2024-08-15 17:13:00,Proud to see my city investing in carbon emissions. #ClimateChange #ClimateChange,fr,Twitter Web App,Youth Climate Movement,9,2,530,1
1700000000000008736,900000000000003288,2024-08-18 01:35:00,Local government just announced new funding for green technology. cc @polarzone9017_20,de,Twitter for iPhone,Climate Denial Debate,15,11,18,1
1700000000000008827,900000000000006439,2024-08-16 07:19:00,"@wildvoice9750_24 @oceantalks7239_42 Another heatwave, another reminder about the youth climate movement. #NetZero",de,Twitter for Android,Wildlife & Conservation,3,3,8,1
1700000000000008918,900000000000002329,2024-09-23 06:03:00,RT @solartalks2185_46: Great panel discussion today on renewable energy adoption at the summit.,en,Twitter for iPhone,Youth Climate Movement,,,,
1700000000000009009,900000000000006028,2024-09-25 10:19:00,"Another heatwave, another reminder about flood defenses.",de,Twitter for Android,Climate Denial Debate,3,14,122,1
1700000000000009100,900000000000004384,2024-08-17 11:32:00,Op-ed: what we're getting wrong about extreme weather. #COP cc @climateaction9563_25,de,Twitter for Android,Green Technology,4,6,23,2
1700000000000009191,900000000000002192,2024-09-07 23:26:00,Proud to see my city investing in extreme weather. #Environment,en,Twitter Web App,Extreme Weather,,,,
1700000000000009282,900000000000001370,2024-09-16 20:47:00,"@greenvoice965_16 This graph on the youth climate movement is wild, take a look.",en,Twitter for Android,Climate Denial Debate,3,6,9,2
1700000000000009373,900000000000006302,2024-08-27 04:53:00,New report shows the youth climate movement is accelerating faster than expected. #ClimateAction cc @wildreport9325_41,es,Twitter for Android,Renewable Energy,,,,
