id,username,description,verified,protected,followers_count,following_count,tweet_count,listed_count,location,account_created_at
900000000000000000,windyvoice9675_0,Just here for the weather memes.,False,False,116,61,2258,3,"Amsterdam, NL",2018-07-28
900000000000003151,windywatch5139_23,Talking climate policy and everyday life.,False,False,123,1006,1273,3,"Amsterdam, NL",2019-08-31
900000000000001096,urbandaily8086_8,Renewable energy researcher. Views my own.,False,False,156,1113,2157,13,"Amsterdam, NL",2023-09-13
900000000000006576,sunnytalks3920_48,Local council member focused on sustainability.,False,False,155,982,3691,8,"Madrid, ES",2023-01-19
900000000000004384,urbanaction2089_32,Talking climate policy and everyday life.,True,False,55,1945,1226,4,,2019-12-18
900000000000002329,bluedaily2168_17,"Climate skeptic, open to debate.",False,True,356,1770,2711,4,"Brussels, BE",2020-09-18
900000000000002329,bluedaily2168_17,"Climate skeptic, open to debate.",False,True,356,1770,2711,4,"Brussels, BE",2020-09-18
900000000000005206,oceanaction9933_38,Engineer working on grid storage.,False,False,58,1981,2179,0,"Berlin, DE",2017-12-27
900000000000000137,windyaction3612_1,"Nonprofit worker, climate justice advocate.",False,False,51,457,1910,4,"Brussels, BE",2018-02-17
900000000000001644,sunnypost10_12,"Retired teacher, worried grandparent.",False,False,90,417,1257,5,,2017-06-05
900000000000004384,urbanaction2089_32,Talking climate policy and everyday life.,True,False,55,1945,1226,4,,2019-12-18
900000000000005206,oceanaction9933_38,Engineer working on grid storage.,False,False,58,1981,2179,0,"Berlin, DE",2017-12-27
900000000000001370,earthzone5574_10,Renewable energy researcher. Views my own.,False,False,957,1772,99,43,,2020-02-20
900000000000002877,leaftalks7887_21,"Parent, cyclist, occasional doomscroller.",False,False,120,1117,125,1,"Rotterdam, NL",2024-04-17
900000000000001096,urbandaily8086_8,Renewable energy researcher. Views my own.,False,False,156,1113,2157,13,"Amsterdam, NL",2023-09-13
900000000000006439,sunnyaction8977_47,"Nonprofit worker, climate justice advocate.",False,False,125,1154,4882,5,"London, UK",2019-04-16
900000000000005069,windylab453_37,Renewable energy researcher. Views my own.,False,False,65,152,2291,5,,2016-09-12
900000000000001370,earthzone5574_10,Renewable energy researcher. Views my own.,False,False,957,1772,99,43,,2020-02-20
900000000000001507,solardesk4890_11,Marine biologist. Ocean nerd.,False,False,80,939,31,4,Global,2020-06-19
900000000000000959,polarnow4340_7,Covering climate news as it happens.,False,False,76,145,1733,5,"Paris, FR",2016-03-28
900000000000002329,bluedaily2168_17,"Climate skeptic, open to debate.",False,True,356,1770,2711,4,"Brussels, BE",2020-09-18
900000000000003836,planetzone8667_28,Talking climate policy and everyday life.,False,False,291,766,2339,5,Global,2022-10-07
900000000000004932,futurewatch3165_36,Just here for the weather memes.,False,False,61,1682,3775,5,,2023-08-10
900000000000001644,sunnypost10_12,"Retired teacher, worried grandparent.",False,False,90,417,1257,5,,2017-06-05
900000000000006713,urbannow3789_49,Just here for the weather memes.,False,False,53,595,1925,2,"London, UK",2025-04-03
